"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2017","20,710","20,900","20,900","20,490","10.12K","0.39%"
"Apr 23, 2017","20,630","21,140","21,190","20,430","4.75K","-2.27%"
"Apr 16, 2017","21,110","20,740","21,390","20,540","11.72K","1.83%"
"Apr 09, 2017","20,730","20,700","21,000","20,570","8.23K","0.39%"
"Apr 02, 2017","20,650","21,240","21,480","20,630","14.84K","0.05%"
"Mar 26, 2017","20,640","20,840","21,310","20,290","3.97K","-3.19%"
"Mar 19, 2017","21,320","21,520","21,610","21,140","10.22K","-0.47%"
"Mar 12, 2017","21,420","21,140","21,480","20,950","10.50K","0.75%"
"Mar 05, 2017","21,260","21,340","21,650","21,060","20.35K","0.43%"
"Feb 26, 2017","21,170","21,300","21,400","20,860","12.40K","-0.61%"
"Feb 19, 2017","21,300","20,430","21,380","20,370","7.66K","4.11%"
"Feb 12, 2017","20,460","20,890","20,890","20,420","13.85K","-1.49%"
"Feb 05, 2017","20,770","20,700","20,820","20,520","9.27K","-0.10%"
"Jan 29, 2017","20,790","20,520","20,900","20,020","10.46K","1.32%"
"Jan 22, 2017","20,520","20,310","20,740","20,090","7.02K","1.58%"
"Jan 15, 2017","20,200","19,960","20,250","19,760","10.43K","1.05%"
"Jan 08, 2017","19,990","19,930","20,500","19,930","15.38K","0.20%"
"Jan 01, 2017","19,950","19,350","20,240","19,350","15.18K","4.67%"
"Dec 25, 2016","19,060","18,950","19,200","18,930","2.62K","0.85%"
"Dec 18, 2016","18,900","19,000","19,100","18,650","5.08K","-0.74%"
"Dec 11, 2016","19,040","18,770","19,150","18,770","4.19K","1.17%"
"Dec 04, 2016","18,820","19,050","19,170","18,670","5.36K","-1.10%"
"Nov 27, 2016","19,030","18,970","19,580","18,970","2.25K","-0.21%"
"Nov 20, 2016","19,070","19,490","19,490","18,910","2.23K","-1.70%"
"Nov 13, 2016","19,400","18,710","19,780","18,710","4.02K","2.00%"
"Nov 06, 2016","19,020","18,420","19,410","18,250","9.16K","3.26%"
"Oct 30, 2016","18,420","18,450","18,570","18,270","5.52K","-2.85%"
"Oct 23, 2016","18,960","19,090","19,210","18,850","2.68K","-1.56%"
"Oct 16, 2016","19,260","19,960","20,020","19,240","7.00K","-3.56%"
"Oct 09, 2016","19,970","19,880","20,060","19,250","7.78K","0.55%"
"Oct 02, 2016","19,860","19,880","20,500","19,750","8.25K","0.10%"
"Sep 25, 2016","19,840","20,300","20,450","19,660","7.13K","-1.93%"
"Sep 18, 2016","20,230","20,750","21,130","20,210","10.99K","-1.32%"
"Sep 11, 2016","20,500","19,960","20,600","19,930","8.14K","1.94%"
"Sep 04, 2016","20,110","19,750","20,250","19,400","7.30K","1.11%"
"Aug 28, 2016","19,890","20,250","20,370","19,540","11.75K","-2.45%"
