"Date","Price","Open","High","Low","Vol.","Change %"
"May 02, 2010","1,057.00","1,060.00","1,084.00","1,050.20","15.52K","-0.13%"
"Apr 25, 2010","1,058.40","1,068.40","1,080.00","1,030.80","14.88K","-1.47%"
"Apr 18, 2010","1,074.20","1,031.00","1,097.00","1,031.00","20.36K","3.83%"
"Apr 11, 2010","1,034.60","981.80","1,037.40","976.00","17.32K","5.72%"
"Apr 04, 2010","978.60","1,012.00","1,022.80","955.20","13.26K","-4.45%"
"Mar 28, 2010","1,024.20","955.00","1,039.00","940.00","5.37K","6.22%"
"Mar 21, 2010","964.20","950.00","970.00","941.00","0.65K","2.01%"
"Mar 14, 2010","945.20","920.00","963.00","915.00","0.38K","2.32%"
"Mar 07, 2010","923.80","933.80","938.00","912.00","0.33K","-0.50%"
"Feb 28, 2010","928.40","931.00","935.00","914.80","0.40K","-2.07%"
"Feb 21, 2010","948.00","948.00","950.00","930.00","0.11K","0.59%"
